LTR,date,expNo,sessionNo,ratNo,trialNo,closed,offset,duration,delay,jitter,U,V,pval,z
82,190204,1,1,1,1,1,40,60,0,0,-0.173439236737884,0.65745530123995,1.34710002394505e-06,12.0205446911871
82,190204,1,1,1,2,1,40,60,0,0,0.00126946414399147,0.590303410120415,2.02463665122328e-27,55.7535564062405
82,190204,1,1,1,3,1,40,60,0,0,NaN,NaN,NaN,NaN
83,190204,1,1,2,1,1,40,60,0,0,NaN,NaN,NaN,NaN
83,190204,1,1,2,2,1,40,60,0,0,NaN,NaN,NaN,NaN
83,190204,1,1,2,3,1,40,60,0,0,0.0825686403202241,0.480989036621008,4.36509384992276e-23,48.3481108439289
83,190204,1,1,2,4,1,40,60,0,0,0.172025698916565,0.394394957425347,1.30050404103026e-25,54.6163659414308
82,190204,1,1,1,1,1,20,40,0,0,0.0176777249959039,0.413141614632105,2.07590524369219e-18,38.9876570200226
82,190204,1,1,1,2,1,20,40,0,0,-0.0743181086249816,0.447184234386019,1.57164430409219e-21,45.414819486414
82,190204,1,1,1,3,1,20,40,0,0,0.222729791500486,0.434165650090948,2.73803828225828e-25,53.0981668981863
83,190204,1,1,2,1,1,20,40,0,0,0.295939185446029,0.674171974289753,2.79443853384297e-55,105.70713121804
83,190204,1,1,2,2,1,20,40,0,0,0.233473005207361,0.613582410085597,2.1330278337303e-45,90.5085338066713
83,190204,1,1,2,3,1,20,40,0,0,0.27742810669283,0.61831410606513,4.24333470713146e-63,124.923803174703
83,190204,1,1,2,4,1,20,40,0,0,0.0357940055617895,0.717603263661962,3.32226534141487e-72,139.899862465016
82,190204,1,1,1,1,1,0,20,0,1,-0.121840402872934,0.315769496900277,1.82733277842737e-11,24.0566463784275
82,190204,1,1,1,2,1,0,20,0,1,0.148827218464243,-0.0626111811649111,0.00810524765178088,4.79682497713105
82,190204,1,1,1,3,1,0,20,0,1,-0.115070679813305,0.310596421574731,3.33457342015345e-13,27.9764066041696
83,190204,1,1,2,1,1,0,20,0,1,-0.44142538136803,0.727971147598303,1.7271271109671e-75,131.913301347373
83,190204,1,1,2,2,1,0,20,0,1,-0.144902490544574,0.715702620856358,2.77462607752948e-55,106.112167680069
83,190204,1,1,2,3,1,0,20,0,1,-0.446748407773945,0.759875664686465,2.19101748872788e-92,156.176028291882
83,190204,1,1,2,4,1,0,20,0,1,-0.516130071578515,0.83122544418334,3.79199584450754e-112,157.001462334651
82,190204,1,1,1,1,1,0,20,0,0,-0.121840402872934,0.315769496900277,1.82733277842737e-11,24.0566463784275
82,190204,1,1,1,2,1,0,20,0,0,0.148827218464243,-0.0626111811649111,0.00810524765178088,4.79682497713105
82,190204,1,1,1,3,1,0,20,0,0,-0.115070679813305,0.310596421574731,3.33457342015345e-13,27.9764066041696
83,190204,1,1,2,1,1,0,20,0,0,-0.44142538136803,0.727971147598303,1.7271271109671e-75,131.913301347373
83,190204,1,1,2,2,1,0,20,0,0,-0.144902490544574,0.715702620856358,2.77462607752948e-55,106.112167680069
83,190204,1,1,2,3,1,0,20,0,0,-0.446748407773945,0.759875664686465,2.19101748872788e-92,156.176028291882
83,190204,1,1,2,4,1,0,20,0,0,-0.516130071578515,0.83122544418334,3.79199584450754e-112,157.001462334651
82,190204,1,1,1,1,1,0,20,20,0,-0.0695627600444918,-0.29470036499861,2.87269973955864e-09,19.2543293702175
82,190204,1,1,1,2,1,0,20,20,0,0.152553845230646,0.010350191385854,0.0133604015136389,4.30188359677387
82,190204,1,1,1,3,1,0,20,20,0,-0.0964429613097334,-0.360909722640168,9.95571342092427e-17,35.5870535340103
83,190204,1,1,2,1,1,0,20,20,0,-0.422766541951399,-0.712873855932352,5.12188795408402e-70,125.019564390704
83,190204,1,1,2,2,1,0,20,20,0,-0.532448066466623,-0.505681206280803,4.86907184961581e-56,107.303670748061
83,190204,1,1,2,3,1,0,20,20,0,-0.486081544723182,-0.729498249861205,7.75843337651442e-91,154.457035898878
83,190204,1,1,2,4,1,0,20,20,0,-0.452000407541389,-0.837727726353905,1.46769418037509e-98,148.599106354825
82,190204,1,1,1,1,1,0,20,40,0,0.301704351757621,-0.0124848749138887,3.21046708132791e-09,19.1480914739314
82,190204,1,1,1,2,1,0,20,40,0,-0.0155791566372291,-0.0153964799072043,0.915717443822778,0.0882761555710886
82,190204,1,1,1,3,1,0,20,40,0,0.404003481906896,-0.0253167606975741,1.43518138672369e-19,41.6203769483389
83,190204,1,1,2,1,1,0,20,40,0,0.764467607641871,-0.242211355750228,4.48075402933992e-64,117.040025645825
83,190204,1,1,2,2,1,0,20,40,0,0.658184290765454,-0.335706887474282,6.87198090890007e-57,108.635229306711
83,190204,1,1,2,3,1,0,20,40,0,0.772478189041672,-0.344884059334549,7.6852911510587e-82,143.849180952564
83,190204,1,1,2,4,1,0,20,40,0,0.857517461895774,-0.198025441349801,4.61150010227287e-75,127.026244751984
82,190204,1,1,1,1,1,0,20,60,0,0.0968853369167859,0.0704311332132011,0.0496782825148396,2.99858842435154
82,190204,1,1,1,2,1,0,20,60,0,0.0775828969056494,-0.127348957052309,0.0165179269497793,4.09158274684336
82,190204,1,1,1,3,1,0,20,60,0,0.0530968791960542,0.207851512732062,7.83589435657083e-06,11.6434470711178
83,190204,1,1,2,1,1,0,20,60,0,0.19686250878824,0.331546984736936,7.56893769450709e-13,26.9107633322742
83,190204,1,1,2,2,1,0,20,60,0,0.199585146540248,0.346924320423986,3.90142818853466e-15,31.8779522494062
83,190204,1,1,2,3,1,0,20,60,0,0.294398147759889,0.374051968894715,1.30602896585684e-21,45.3170289676934
83,190204,1,1,2,4,1,0,20,60,0,0.143576147088038,0.433632660304339,2.63106823837522e-16,34.010177237528
